text	label
E. D. Abbott Ltd. Abbott of Farnham E D Abbott Limited was a British coachbuilding business based in Farnham Surrey trading under that name from 1929. A major part of their output was under sub-contract to motor vehicle manufacturers. Their business closed in 1972.	0
Q-workshop. Q-workshop is a Polish company located in Poznań that specializes in designand production of polyhedral dice and dice accessories for use in various games ( role-playing gamesboard games and tabletop wargames ) . They also run an online retail store and maintainan active forum community.Q-workshop was established in 2001 by Patryk Strzelewicz – a student from Poznań. Initiallythe company sold its products via online auction services but in 2005 a website and online store wereestablished.	0
Marvell Software Solutions Israel. Marvell Software Solutions Israel known as RADLAN Computer Communications Limited before 2007 is a wholly owned subsidiary of Marvell Technology Group that specializes in local area network ( LAN ) technologies.	0
The Unsigned Guide. The Unsigned Guide is an online contacts directory and careers guide for the UK music industry. Founded in 2003 and first published as a printed directory The Unsigned Guide became an online only resource in November 2011.	0
Rest of the world. Within sports and games played at the international competitive level the Rest of the World refers to a team of players from many countries of origin that compete against a single individual or a team from a single group such as a club or country. The team was formed in 1998.	0
Globoforce. Globoforce is a multinational company co-headquartered in Southborough Massachusetts and Dublin Ireland providing cloud-based ( software as a service ) human capital management ( HCM ) software solutions. Its social recognition solutions are designed for employees to recognize and reward each other as incentive for performance and behaviors that are mapped to company values. A private corporation Globoforce is co-headquartered in Southborough Massachusetts and Dublin Ireland.	0
Rompetrol. The Rompetrol Group N.V. is a Romanian oil company that operates in many countries throughout Europe. The group is active primarily in refining marketing and trading with additional operations in exploration and production and other oil industry services such as drilling EPCM and transportation.	0
Wave Accounting. Wave is the brand name for a suite of online small business software products. The legal company name is Wave Accounting Inc. Wave is headquartered in the Leslieville neighbourhood in Toronto Canada and is currently being used in 200 countries.The company's first product was a free online accounting software designed for businesses with 1-9 employees.	0
I-innovate ( UK ) . I-innovate ( UK ) is a London-based independent record label that diversified from video production into music management from 2009. I-innovate was founded by Najero Okenabirhie in 2008. I-innovate work with freelance directors marketers and artists in music and graphic design providing ad hoc services for clients labels and music professionals.	0
JVC. Victor Company of Japan Ltd ( 日本ビクター株式会社 Nippon Bikutā Kabushiki-gaisha ) TYO: 6792 usually referred to as JVC is a Japanese international consumer and professional electronics corporation based in Yokohama Japan. Founded in 1927 the company is best known for introducing Japan's first televisions and for developing the Video Home System ( VHS ) video recorder. In 2008 JVC merged with Kenwood Corporation to create JVC Kenwood Holdings.	0
Toei Bus. The Toei Bus ( 都営バス Toei Basu ) is a bus service operated by the Bus Service Division the Tokyo Metropolitan Bureau of Transportation ( 東京都交通局 Tōkyō-to Kōtsū-kyoku ) . It is also called To Bus ( 都バス To Basu ) .The bureau mainly operates bus routes in the special wards of Tokyo as well as those in the city of Ōme in the western Tama Area.	0
Tear Drop Records. Tear Drop Records was a record label founded in Winnie Texas in the early 1960s by recording pioneer and radio personality Huey P Meaux. As a deejay Meaux was known as the Crazy Cajun a name that stuck with him throughout his long music career. In 1964 Meaux moved his Tear Drop label and his Crazy Cajun Enterprises to Conroe Texas where he partnered with a seasoned record producer Foy Lee.	0
Presses polytechniques et universitaires romandes. The Presses polytechniques et universitaires romandes ( PPUR literally Polytechnic and university press of French-speaking Switzerland ) is a Swiss academic publishing house.It is based in Lausanne on the Lausanne campus in the Rolex Learning Center.The Presses polytechniques et universitaires romandes has an English-language imprint called EPFL Press.	0
Websense. Websense is a San Diego-based company specializing in computer security softwarewhich is used by businesses and government institutions to protect their networks from cybercrime malware stop data theft prevent users from viewing sexual or other inappropriate content and discourage employees from spending time browsing non business-related websites.	0
Adventist Health System. The Adventist Health System is a non-profit health care organization which operates facilities within the Southern and Midwestern regions of the United States. It is run by the Seventh-day Adventist Church.As of 2014 the system supports 44 hospitals and claims to be the largest not-for-profit Protestant healthcare provider in the nation.	0
Orfanato Music Group. Orfanato Music Group ( OMG ) is a Puerto Rican record label in the music and performance production industry. OMG was created by William Landron also known as Don Omar in 2007. Orfanato Music Group is an independent record label which represents artists. Its music repertoire is represented nationally and internationally within the Latino marketplace. Its strategy is to serve those interested in Latino music including reggaeton Latin hip hop and bachata amongst others.	0
SCAN Health Plan. SCAN Health Plan ( SCAN ) is a not-for-profit health plan founded in 1977 and based in Long Beach California. The organization serves more than 110000 people with Medicare in Kern Los Angeles Orange Riverside San Bernardino San Diego and Ventura counties California and Maricopa county Arizona. The company also offers a health plan for Medicare and Medicaid-eligible individuals as part of the state’s long term care program in Maricopa county.	0
Rudolf Kämpf. Rudolf Kämpf is a porcelain manufacturer in the Czech Republic.	0
De Wendel family. The de Wendel Family is an industrialist family from Lorraine France.In the 19th and 20th centuries the family gained might both industrial and political. As a result they also attracted controversy as an icon of French capitalism. Following the nationalisation of the French steel industry in 1978 they became a successful investment company ( Wendel Investissement ) .	0
Mansfield Building Society. The Mansfield Building Society is a UK building society which has its headquarters in Mansfield Nottinghamshire. It is a member of the Building Societies Association.	0
Witcomb Cycles. Witcomb Cycles formerly known as Witcomb Lightweight Cycles is the trading name of the Witcomb Trading Company. It was a British company based in Deptford South London specialising in custom handmade steel bicycle frames. The company was founded in 1949 by Ernie Witcomb and his wife Lily. The London shop closed in May 2009.	0
Goldilocks Bakeshop. Goldilocks Bakeshop is a bakeshop chain based in the Philippines which produces and distributes Philippine cakes and pastries. The chain was named after Goldilocks a character from the fairy tale Goldilocks and the Three Bears.Goldilocks was first opened in 1966 as a family business and started in a one-door apartment of a two-story structure on Pasong Tamo Street Makati City.	0
Guardian Assurance Company. The Guardian Assurance Company was a very large British insurance company.	0
Shiply. Shiply is a UK-based limited company providing an internet marketplace where transport service requesters may list items they need to move and where providers of transport services can bid in a reverse auction format.	0
Orange Music Electronic Company. Orange Music Electronic Company is a British amplifier manufacturing company famous for its distinctive sound and bright orange Tolex-like covering on amplifier heads and speaker cabinets. Orange also manufactures amplifiers for bass guitar speaker cabinets for instrument amplifiers and combination ( combo ) amplifiers.	0
Cavity Search Records. Cavity Search Records is a record label based in Portland Oregon formed in 1992 by Christopher Cooper and Denny Swofford. It is known for producing debut records by bands Hazel Heatmiser The Helio Sequence King Black Acid and Richmond Fontaine along with debut records for singer-songwriters Danny Barnes Saul Conrad Pete Krebs and Elliott Smith.	0
Kalydo. Kalydo is a proprietary cloud gaming technology and service based on file streaming. The Kalydo platform launched commercially in 2008 and has been in service since. The Kalydo file streaming technology allows games to be played immediately without the need of downloading and installation providing faster and easier access to games.	0
Channel Express. Channel Express ( Air Services ) Limited was an airline with its head office in Building 470 at Bournemouth International Airport in Christchurch Dorset near Bournemouth. It operated scheduled services from Bournemouth to the Channel Islands and nightly cargo services to Europe and throughout the UK on behalf of Royal Mail and other overnight express carriers.	0
Æon Group. Æon Group or Aeon Group ( イオングループ Ion Gurūpu ) is a group of retail and financial services companies based in Chiba Japan which is centered on Æon Co. Ltd. It has sister companies in Mainland China Hong Kong Indonesia and Malaysia and also trades under the JUSCO name.	0
Target Canada. Target Canada Co. is the Canadian subsidiary of United States-based discount department store chain Target Corporation formed in 2011 to oversee the company's Canadian operations.	0
Health PEI. Health PEI is the single health authority for the Canadian province of Prince Edward Island.	0
Donald Healey Motor Company. Donald Healey Motor Company Limited was a British car manufacturer.	0
Calla Records. Calla Records was a small New York City-based independent black owned Soul record label run by Nate McCalla and active c. 1965 to 1977.McCalla was an associate and bodyguard for Morris Levy who headed Roulette Records which had known ties to the mob.Artists recording for the label include J.J. Jackson The Sandpebbles Little Jerry Williams ( aka Swamp Dogg ) Jean Wells The Emotions The Fuzz Lonnie Youngblood The Persuaders and Geraldine Hunt among others.	0
Rajshri Media. Rajshri Media ( P ) Limited is a digital entertainment and new media arm of Rajshri Group. The Rashri.com portal was launched on November 2006 by releasing online Barjatya-produced Hindi movie Vivah followed by Hattrick Life in a Metro and Blue Umbrella among others. The company plans to reach its audience through all the four screens: Cinema PC Mobile TV.	0
VirtualSharp Software. VirtualSharp Software Corporation is a company that provides Disaster Recovery automation for virtualized environments and private clouds. VirtualSharp has pioneered the concept of DR Assurance which consists in setting recovery policies for individual applications in a datacenters and driving into the infrastructure the responsibility for policy enforcement without human intervention. VirtualSharp ReliableDR is its flagship product.	0
Disney Comics. Disney Comics was a comic book publishing company operated by The Walt Disney Company which ran from 1990 to 1993. It was connected with W. D. Publications Inc. which was a subsidiary of The Walt Disney Company that published Disney Comics during that time span. W. D. Publications Inc. created Disney Comics in 1990 so that The Walt Disney Company would not have to rely on outside publishers such as Gladstone Publishing.	0
Wood Mackenzie. Wood Mackenzie is a global energy metals and mining research and consultancy group with an international reputation for supplying comprehensive data written analysis and consultancy advice.It is based in Edinburgh Scotland though it has over 25 offices worldwide. The company's energy business was founded in 1973 when they started reviewing the North Sea oilfields.	0
Haas Wheat & Partners. Haas Wheat & Partners is a private equity firm focused on leveraged buyout transactions. The firm targets specialty middle-market manufacturing distribution and service companies particularly family-controlled companies and corporate spin-outs.The firm is based in Dallas Texas and was founded in 1992.	0
Rubin Design Bureau. Rubin Central Design Bureau for Marine Engineering ( Russian: Центральное конструкторское бюро Рубин shortened to ЦКБ Рубин ) in Saint Petersburg is one of three main Russian centers of submarine design and the other two are Malakhit Central Design Bureau and Lazurit Central Design Bureau ( Lazurit is the Russian word for lazurite ) .	0
Cockerill Maintenance & Ingénierie. Cockerill Maintenance & Ingénierie ( CMI ) is a mechanical engineering group headquartered in Seraing Belgium producing machinery for steel plants industrial heat recovery equipment and boiler and shunting locomotives and military equipment ( artillery guns ) .	0
Barnegat Fund Management. Barnegat Fund Management Inc is a hedge fund management company based in Hoboken New Jersey which manages the Barnegat Fund a fixed-income relative-value hedge fund. The fund exploits interest-rate anomalies in large financial markets. The financial instruments traded include government bonds interest-rate swaps and futures contracts.	0
